Project	Run_accession	Treatment	Author	Fungicide_type	Duration	Dose
P2	SRR18767462	Treated	"Wang et al., 2082"	Thiadiazole	19	7.7
P2	SRR18767459	Treated	"Wang et al., 2083"	Thiadiazole	19	7.7
P2	SRR18767457	Treated	"Wang et al., 2084"	Thiadiazole	19	7.7
P2	SRR18767455	Treated	"Wang et al., 2085"	Thiadiazole	19	7.7
P2	SRR18767330	Treated	"Wang et al., 2086"	Thiadiazole	19	7.7
P2	SRR18767328	Treated	"Wang et al., 2087"	Thiadiazole	19	7.7
P2	SRR18767326	Treated	"Wang et al., 2088"	Thiadiazole	19	7.7
P2	SRR18767324	Treated	"Wang et al., 2089"	Thiadiazole	19	7.7
P2	SRR18767391	Treated	"Wang et al., 2090"	Thiadiazole	19	7.7
P2	SRR18767389	Treated	"Wang et al., 2091"	Thiadiazole	19	7.7
P2	SRR18767387	Treated	"Wang et al., 2092"	Thiadiazole	19	7.7
P2	SRR18767385	Treated	"Wang et al., 2093"	Thiadiazole	19	7.7
P2	SRR18767486	Treated	"Wang et al., 2094"	Thiadiazole	19	7.7
P2	SRR18767484	Treated	"Wang et al., 2095"	Thiadiazole	19	7.7
P2	SRR18767482	Treated	"Wang et al., 2096"	Thiadiazole	19	7.7
P2	SRR18767443	Treated	"Wang et al., 2097"	Thiadiazole	19	7.7
P3	SRR14244426	Control	"Ezazi et al., 2021"	Benzimidazole + Dicarboximide	45	2
P3	SRR14244425	Control	"Ezazi et al., 2022"	Benzimidazole + Dicarboximide	45	2
P3	SRR14244414	Control	"Ezazi et al., 2023"	Benzimidazole + Dicarboximide	45	2
P3	SRR14244403	Control	"Ezazi et al., 2024"	Benzimidazole + Dicarboximide	45	2
P3	SRR14244396	Control	"Ezazi et al., 2025"	Benzimidazole + Dicarboximide	45	2
P3	SRR14244395	Control	"Ezazi et al., 2026"	Benzimidazole + Dicarboximide	45	2
P3	SRR14244394	Control	"Ezazi et al., 2027"	Benzimidazole + Dicarboximide	45	2
P3	SRR14244393	Control	"Ezazi et al., 2028"	Benzimidazole + Dicarboximide	45	2
P3	SRR14244392	Control	"Ezazi et al., 2029"	Benzimidazole + Dicarboximide	45	2
P3	SRR14244391	Treated	"Ezazi et al., 2030"	Benzimidazole + Dicarboximide	45	2
P3	SRR14244424	Treated	"Ezazi et al., 2031"	Benzimidazole + Dicarboximide	45	2
P3	SRR14244423	Treated	"Ezazi et al., 2032"	Benzimidazole + Dicarboximide	45	2
P3	SRR14244422	Treated	"Ezazi et al., 2033"	Benzimidazole + Dicarboximide	45	2
P3	SRR14244421	Treated	"Ezazi et al., 2034"	Benzimidazole + Dicarboximide	45	2
P3	SRR14244420	Treated	"Ezazi et al., 2035"	Benzimidazole + Dicarboximide	45	2
P3	SRR14244419	Treated	"Ezazi et al., 2036"	Benzimidazole + Dicarboximide	45	2
P3	SRR14244418	Treated	"Ezazi et al., 2037"	Benzimidazole + Dicarboximide	45	2
P3	SRR14244417	Treated	"Ezazi et al., 2038"	Benzimidazole + Dicarboximide	45	2
P4	SRR22015378	Control	"Sim et al., 2023"	Triazole	45	2
P4	SRR22015662	Control	"Sim et al., 2024"	Triazole	45	2
P4	SRR22014350	Control	"Sim et al., 2025"	Triazole	45	2
P4	SRR22014390	Control	"Sim et al., 2026"	Triazole	45	2
P4	SRR22014891	Control	"Sim et al., 2027"	Triazole	45	2
P4	SRR22015377	Control	"Sim et al., 2028"	Triazole	45	2
P4	SRR22015661	Control	"Sim et al., 2029"	Triazole	45	2
P4	SRR22015799	Control	"Sim et al., 2030"	Triazole	45	2
P4	SRR22014689	Control	"Sim et al., 2031"	Triazole	45	2
P4	SRR22015075	Control	"Sim et al., 2032"	Triazole	45	2
P4	SRR22014352	Control	"Sim et al., 2033"	Triazole	45	2
P4	SRR22015800	Control	"Sim et al., 2034"	Triazole	45	2
P4	SRR22014841	Control	"Sim et al., 2035"	Triazole	45	2
P4	SRR22015663	Control	"Sim et al., 2036"	Triazole	45	2
P4	SRR22014842	Control	"Sim et al., 2037"	Triazole	45	2
P4	SRR22015801	Control	"Sim et al., 2038"	Triazole	45	2
P4	SRR22015074	Control	"Sim et al., 2039"	Triazole	45	2
P4	SRR22014351	Control	"Sim et al., 2040"	Triazole	45	2
P4	SRR22015376	Control	"Sim et al., 2041"	Triazole	45	2
P4	SRR22014890	Control	"Sim et al., 2042"	Triazole	45	2
P4	SRR22015072	Control	"Sim et al., 2043"	Triazole	45	2
P4	SRR22014688	Control	"Sim et al., 2044"	Triazole	45	2
P4	SRR22014889	Control	"Sim et al., 2045"	Triazole	45	2
P4	SRR22014687	Control	"Sim et al., 2046"	Triazole	45	2
P4	SRR22015375	Control	"Sim et al., 2047"	Triazole	45	2
P4	SRR22015659	Control	"Sim et al., 2048"	Triazole	45	2
P4	SRR22014347	Control	"Sim et al., 2049"	Triazole	45	2
P4	SRR22014387	Control	"Sim et al., 2050"	Triazole	45	2
P4	SRR22014888	Control	"Sim et al., 2051"	Triazole	45	2
P4	SRR22015374	Control	"Sim et al., 2052"	Triazole	45	2
P4	SRR22015658	Control	"Sim et al., 2053"	Triazole	45	2
P4	SRR22015795	Control	"Sim et al., 2054"	Triazole	45	2
P4	SRR22014686	Control	"Sim et al., 2055"	Triazole	45	2
P4	SRR22015071	Control	"Sim et al., 2056"	Triazole	45	2
P4	SRR22014349	Control	"Sim et al., 2057"	Triazole	45	2
P4	SRR22015796	Control	"Sim et al., 2058"	Triazole	45	2
P4	SRR22014388	Control	"Sim et al., 2059"	Triazole	45	2
P4	SRR22015660	Control	"Sim et al., 2060"	Triazole	45	2
P4	SRR22014389	Control	"Sim et al., 2061"	Triazole	45	2
P4	SRR22015797	Control	"Sim et al., 2062"	Triazole	45	2
P4	SRR22015070	Control	"Sim et al., 2063"	Triazole	45	2
P4	SRR22014348	Control	"Sim et al., 2064"	Triazole	45	2
P4	SRR22015373	Control	"Sim et al., 2065"	Triazole	45	2
P4	SRR22014885	Control	"Sim et al., 2066"	Triazole	45	2
P4	SRR22015069	Control	"Sim et al., 2067"	Triazole	45	2
P4	SRR22014685	Control	"Sim et al., 2068"	Triazole	45	2
P4	SRR22014884	Control	"Sim et al., 2069"	Triazole	45	2
P4	SRR22014684	Control	"Sim et al., 2070"	Triazole	45	2
P4	SRR22015372	Control	"Sim et al., 2071"	Triazole	45	2
P4	SRR22015655	Control	"Sim et al., 2072"	Triazole	45	2
P4	SRR22014344	Control	"Sim et al., 2073"	Triazole	45	2
P4	SRR22014383	Control	"Sim et al., 2074"	Triazole	45	2
P4	SRR22014883	Control	"Sim et al., 2075"	Triazole	45	2
P4	SRR22015528	Control	"Sim et al., 2076"	Triazole	45	2
P4	SRR22015654	Control	"Sim et al., 2077"	Triazole	45	2
P4	SRR22015792	Control	"Sim et al., 2078"	Triazole	45	2
P4	SRR22014683	Control	"Sim et al., 2079"	Triazole	45	2
P4	SRR22015068	Control	"Sim et al., 2080"	Triazole	45	2
P4	SRR22014346	Control	"Sim et al., 2081"	Triazole	45	2
P4	SRR22015793	Control	"Sim et al., 2082"	Triazole	45	2
P4	SRR22014384	Control	"Sim et al., 2083"	Triazole	45	2
P4	SRR22015657	Control	"Sim et al., 2084"	Triazole	45	2
P4	SRR22014385	Control	"Sim et al., 2085"	Triazole	45	2
P4	SRR22015794	Control	"Sim et al., 2086"	Triazole	45	2
P4	SRR22015067	Control	"Sim et al., 2087"	Triazole	45	2
P4	SRR22014345	Control	"Sim et al., 2088"	Triazole	45	2
P4	SRR22015527	Control	"Sim et al., 2089"	Triazole	45	2
P4	SRR22014882	Control	"Sim et al., 2090"	Triazole	45	2
P4	SRR22015066	Control	"Sim et al., 2091"	Triazole	45	2
P4	SRR22014682	Control	"Sim et al., 2092"	Triazole	45	2
P4	SRR22014881	Control	"Sim et al., 2093"	Triazole	45	2
P4	SRR22014680	Control	"Sim et al., 2094"	Triazole	45	2
P4	SRR22015755	Control	"Sim et al., 2095"	Triazole	45	2
P4	SRR22015770	Control	"Sim et al., 2096"	Triazole	45	2
P4	SRR22015754	Control	"Sim et al., 2097"	Triazole	45	2
P4	SRR22015768	Control	"Sim et al., 2098"	Triazole	45	2
P4	SRR22015370	Control	"Sim et al., 2099"	Triazole	45	2
P4	SRR22015767	Control	"Sim et al., 2100"	Triazole	45	2
P4	SRR22015526	Treated	"Sim et al., 2101"	Triazole	45	2
P4	SRR22015652	Treated	"Sim et al., 2102"	Triazole	45	2
P4	SRR22015054	Treated	"Sim et al., 2103"	Triazole	45	2
P4	SRR22014380	Treated	"Sim et al., 2104"	Triazole	45	2
P4	SRR22014880	Treated	"Sim et al., 2105"	Triazole	45	2
P4	SRR22015525	Treated	"Sim et al., 2106"	Triazole	45	2
P4	SRR22015651	Treated	"Sim et al., 2107"	Triazole	45	2
P4	SRR22015789	Treated	"Sim et al., 2108"	Triazole	45	2
P4	SRR22014414	Treated	"Sim et al., 2109"	Triazole	45	2
P4	SRR22015065	Treated	"Sim et al., 2110"	Triazole	45	2
P4	SRR22014343	Treated	"Sim et al., 2111"	Triazole	45	2
P4	SRR22015790	Treated	"Sim et al., 2112"	Triazole	45	2
P4	SRR22014381	Treated	"Sim et al., 2113"	Triazole	45	2
P4	SRR22015653	Treated	"Sim et al., 2114"	Triazole	45	2
P4	SRR22014382	Treated	"Sim et al., 2115"	Triazole	45	2
P4	SRR22015791	Treated	"Sim et al., 2116"	Triazole	45	2
P4	SRR22015064	Treated	"Sim et al., 2117"	Triazole	45	2
P4	SRR22015055	Treated	"Sim et al., 2118"	Triazole	45	2
P4	SRR22015524	Treated	"Sim et al., 2119"	Triazole	45	2
P4	SRR22014879	Treated	"Sim et al., 2120"	Triazole	45	2
P4	SRR22015063	Treated	"Sim et al., 2121"	Triazole	45	2
P4	SRR22014413	Treated	"Sim et al., 2122"	Triazole	45	2
P4	SRR22014878	Treated	"Sim et al., 2123"	Triazole	45	2
P4	SRR22014412	Treated	"Sim et al., 2124"	Triazole	45	2
P4	SRR22015369	Treated	"Sim et al., 2125"	Triazole	45	2
P4	SRR22015766	Treated	"Sim et al., 2126"	Triazole	45	2
P4	SRR22015523	Treated	"Sim et al., 2127"	Triazole	45	2
P4	SRR22015649	Treated	"Sim et al., 2128"	Triazole	45	2
P4	SRR22015529	Treated	"Sim et al., 2129"	Triazole	45	2
P4	SRR22014377	Treated	"Sim et al., 2130"	Triazole	45	2
P4	SRR22014877	Treated	"Sim et al., 2131"	Triazole	45	2
P4	SRR22015522	Treated	"Sim et al., 2132"	Triazole	45	2
P4	SRR22015346	Treated	"Sim et al., 2133"	Triazole	45	2
P4	SRR22015785	Treated	"Sim et al., 2134"	Triazole	45	2
P4	SRR22014411	Treated	"Sim et al., 2135"	Triazole	45	2
P4	SRR22015061	Treated	"Sim et al., 2136"	Triazole	45	2
P4	SRR22015531	Treated	"Sim et al., 2137"	Triazole	45	2
P4	SRR22015786	Treated	"Sim et al., 2138"	Triazole	45	2
P4	SRR22014378	Treated	"Sim et al., 2139"	Triazole	45	2
P4	SRR22015650	Treated	"Sim et al., 2140"	Triazole	45	2
P4	SRR22014379	Treated	"Sim et al., 2141"	Triazole	45	2
P4	SRR22015788	Treated	"Sim et al., 2142"	Triazole	45	2
P4	SRR22015060	Treated	"Sim et al., 2143"	Triazole	45	2
P4	SRR22015530	Treated	"Sim et al., 2144"	Triazole	45	2
P4	SRR22015521	Treated	"Sim et al., 2145"	Triazole	45	2
P4	SRR22014876	Treated	"Sim et al., 2146"	Triazole	45	2
P4	SRR22015059	Treated	"Sim et al., 2147"	Triazole	45	2
P4	SRR22014410	Treated	"Sim et al., 2148"	Triazole	45	2
P4	SRR22014874	Treated	"Sim et al., 2149"	Triazole	45	2
P4	SRR22014409	Treated	"Sim et al., 2150"	Triazole	45	2
P4	SRR22015368	Treated	"Sim et al., 2151"	Triazole	45	2
P4	SRR22015765	Treated	"Sim et al., 2152"	Triazole	45	2
P4	SRR22015520	Treated	"Sim et al., 2153"	Triazole	45	2
P4	SRR22014374	Treated	"Sim et al., 2154"	Triazole	45	2
P4	SRR22015694	Treated	"Sim et al., 2155"	Triazole	45	2
P4	SRR22015358	Treated	"Sim et al., 2156"	Triazole	45	2
P4	SRR22014873	Treated	"Sim et al., 2157"	Triazole	45	2
P4	SRR22015519	Treated	"Sim et al., 2158"	Triazole	45	2
P4	SRR22014373	Treated	"Sim et al., 2159"	Triazole	45	2
P4	SRR22015782	Treated	"Sim et al., 2160"	Triazole	45	2
P4	SRR22014408	Treated	"Sim et al., 2161"	Triazole	45	2
P4	SRR22015058	Treated	"Sim et al., 2162"	Triazole	45	2
P4	SRR22015696	Treated	"Sim et al., 2163"	Triazole	45	2
P4	SRR22015783	Treated	"Sim et al., 2164"	Triazole	45	2
P4	SRR22015359	Treated	"Sim et al., 2165"	Triazole	45	2
P4	SRR22015345	Treated	"Sim et al., 2166"	Triazole	45	2
P4	SRR22014376	Treated	"Sim et al., 2167"	Triazole	45	2
P4	SRR22015784	Treated	"Sim et al., 2168"	Triazole	45	2
P4	SRR22015057	Treated	"Sim et al., 2169"	Triazole	45	2
P4	SRR22015695	Treated	"Sim et al., 2170"	Triazole	45	2
P4	SRR22015517	Treated	"Sim et al., 2171"	Triazole	45	2
P4	SRR22014872	Treated	"Sim et al., 2172"	Triazole	45	2
P4	SRR22014864	Treated	"Sim et al., 2173"	Triazole	45	2
P4	SRR22014407	Treated	"Sim et al., 2174"	Triazole	45	2
P4	SRR22014871	Treated	"Sim et al., 2175"	Triazole	45	2
P4	SRR22014406	Treated	"Sim et al., 2176"	Triazole	45	2
P4	SRR22015367	Treated	"Sim et al., 2177"	Triazole	45	2
P4	SRR22015764	Treated	"Sim et al., 2178"	Triazole	45	2
P4	SRR22015516	Treated	"Sim et al., 2179"	Triazole	45	2
P4	SRR22014371	Treated	"Sim et al., 2180"	Triazole	45	2
P4	SRR22015689	Treated	"Sim et al., 2181"	Triazole	45	2
P4	SRR22015355	Treated	"Sim et al., 2182"	Triazole	45	2
P4	SRR22014870	Treated	"Sim et al., 2183"	Triazole	45	2
P4	SRR22015515	Treated	"Sim et al., 2184"	Triazole	45	2
P4	SRR22014370	Treated	"Sim et al., 2185"	Triazole	45	2
P4	SRR22015779	Treated	"Sim et al., 2186"	Triazole	45	2
P4	SRR22014404	Treated	"Sim et al., 2187"	Triazole	45	2
P4	SRR22014863	Treated	"Sim et al., 2188"	Triazole	45	2
P4	SRR22015693	Treated	"Sim et al., 2189"	Triazole	45	2
P4	SRR22015780	Treated	"Sim et al., 2190"	Triazole	45	2
P4	SRR22015356	Treated	"Sim et al., 2191"	Triazole	45	2
P4	SRR22014372	Treated	"Sim et al., 2192"	Triazole	45	2
P4	SRR22015357	Treated	"Sim et al., 2193"	Triazole	45	2
P4	SRR22015781	Treated	"Sim et al., 2194"	Triazole	45	2
P4	SRR22014862	Treated	"Sim et al., 2195"	Triazole	45	2
P4	SRR22015690	Treated	"Sim et al., 2196"	Triazole	45	2
P4	SRR22015514	Treated	"Sim et al., 2197"	Triazole	45	2
P4	SRR22014869	Treated	"Sim et al., 2198"	Triazole	45	2
P4	SRR22014861	Treated	"Sim et al., 2199"	Triazole	45	2
P4	SRR22014403	Treated	"Sim et al., 2200"	Triazole	45	2
P4	SRR22014868	Treated	"Sim et al., 2201"	Triazole	45	2
P4	SRR22014402	Treated	"Sim et al., 2202"	Triazole	45	2
P4	SRR22015366	Treated	"Sim et al., 2203"	Triazole	45	2
P4	SRR22015763	Treated	"Sim et al., 2204"	Triazole	45	2
P4	SRR22015513	Treated	"Sim et al., 2205"	Triazole	45	2
P4	SRR22014368	Treated	"Sim et al., 2206"	Triazole	45	2
P4	SRR22015686	Treated	"Sim et al., 2207"	Triazole	45	2
P4	SRR22015351	Treated	"Sim et al., 2208"	Triazole	45	2
P4	SRR22014867	Treated	"Sim et al., 2209"	Triazole	45	2
P4	SRR22015512	Treated	"Sim et al., 2210"	Triazole	45	2
P4	SRR22014367	Treated	"Sim et al., 2211"	Triazole	45	2
P4	SRR22015392	Treated	"Sim et al., 2212"	Triazole	45	2
P4	SRR22014401	Treated	"Sim et al., 2213"	Triazole	45	2
P4	SRR22014860	Treated	"Sim et al., 2214"	Triazole	45	2
P4	SRR22015688	Treated	"Sim et al., 2215"	Triazole	45	2
P4	SRR22015394	Treated	"Sim et al., 2216"	Triazole	45	2
P4	SRR22015353	Treated	"Sim et al., 2217"	Triazole	45	2
P4	SRR22014369	Treated	"Sim et al., 2218"	Triazole	45	2
P4	SRR22015354	Treated	"Sim et al., 2219"	Triazole	45	2
P4	SRR22015778	Treated	"Sim et al., 2220"	Triazole	45	2
P4	SRR22014858	Treated	"Sim et al., 2221"	Triazole	45	2
P4	SRR22015687	Treated	"Sim et al., 2222"	Triazole	45	2
P4	SRR22015511	Treated	"Sim et al., 2223"	Triazole	45	2
P4	SRR22014866	Treated	"Sim et al., 2224"	Triazole	45	2
P4	SRR22014857	Treated	"Sim et al., 2225"	Triazole	45	2
P4	SRR22014400	Treated	"Sim et al., 2226"	Triazole	45	2
P4	SRR22014865	Treated	"Sim et al., 2227"	Triazole	45	2
P4	SRR22014399	Treated	"Sim et al., 2228"	Triazole	45	2
P4	SRR22015365	Treated	"Sim et al., 2229"	Triazole	45	2
P4	SRR22015762	Treated	"Sim et al., 2230"	Triazole	45	2
P4	SRR22015510	Treated	"Sim et al., 2231"	Triazole	45	2
P4	SRR22014365	Treated	"Sim et al., 2232"	Triazole	45	2
P4	SRR22015683	Treated	"Sim et al., 2233"	Triazole	45	2
P4	SRR22015348	Treated	"Sim et al., 2234"	Triazole	45	2
P4	SRR22014702	Treated	"Sim et al., 2235"	Triazole	45	2
P4	SRR22015509	Treated	"Sim et al., 2236"	Triazole	45	2
P4	SRR22014363	Treated	"Sim et al., 2237"	Triazole	45	2
P4	SRR22015389	Treated	"Sim et al., 2238"	Triazole	45	2
P4	SRR22014398	Treated	"Sim et al., 2239"	Triazole	45	2
P4	SRR22014856	Treated	"Sim et al., 2240"	Triazole	45	2
P4	SRR22015685	Treated	"Sim et al., 2241"	Triazole	45	2
P4	SRR22015390	Treated	"Sim et al., 2242"	Triazole	45	2
P4	SRR22015349	Treated	"Sim et al., 2243"	Triazole	45	2
P4	SRR22014366	Treated	"Sim et al., 2244"	Triazole	45	2
P4	SRR22015350	Treated	"Sim et al., 2245"	Triazole	45	2
P4	SRR22015391	Treated	"Sim et al., 2246"	Triazole	45	2
P4	SRR22014855	Treated	"Sim et al., 2247"	Triazole	45	2
P4	SRR22015684	Treated	"Sim et al., 2248"	Triazole	45	2
P4	SRR22015508	Treated	"Sim et al., 2249"	Triazole	45	2
P4	SRR22014701	Treated	"Sim et al., 2250"	Triazole	45	2
P4	SRR22014854	Treated	"Sim et al., 2251"	Triazole	45	2
P4	SRR22014397	Treated	"Sim et al., 2252"	Triazole	45	2
P4	SRR22014700	Treated	"Sim et al., 2253"	Triazole	45	2
P4	SRR22014396	Treated	"Sim et al., 2254"	Triazole	45	2
P4	SRR22015364	Treated	"Sim et al., 2255"	Triazole	45	2
P4	SRR22015761	Treated	"Sim et al., 2256"	Triazole	45	2
P5	CRR190786	Control	"Chuang et al., 2021"	Benzimidazole	14	2
P5	CRR190787	Control	"Chuang et al., 2022"	Benzimidazole	14	2
P5	CRR190788	Control	"Chuang et al., 2023"	Benzimidazole	14	2
P5	CRR190789	Control	"Chuang et al., 2024"	Benzimidazole	14	2
P5	CRR190790	Control	"Chuang et al., 2025"	Benzimidazole	14	2
P5	CRR190791	Control	"Chuang et al., 2026"	Benzimidazole	14	2
P5	CRR190792	Control	"Chuang et al., 2027"	Benzimidazole	14	2
P5	CRR190793	Control	"Chuang et al., 2028"	Benzimidazole	14	2
P5	CRR190794	Control	"Chuang et al., 2029"	Benzimidazole	14	2
P5	CRR190795	Treated	"Chuang et al., 2030"	Benzimidazole	14	2
P5	CRR190796	Treated	"Chuang et al., 2031"	Benzimidazole	14	2
P5	CRR190797	Treated	"Chuang et al., 2032"	Benzimidazole	14	2
P5	CRR190798	Treated	"Chuang et al., 2033"	Benzimidazole	14	2
P5	CRR190799	Treated	"Chuang et al., 2034"	Benzimidazole	14	2
P5	CRR190800	Treated	"Chuang et al., 2035"	Benzimidazole	14	2
P5	CRR190801	Treated	"Chuang et al., 2036"	Benzimidazole	14	2
P5	CRR190802	Treated	"Chuang et al., 2037"	Benzimidazole	14	2
P5	CRR190803	Treated	"Chuang et al., 2038"	Benzimidazole	14	2
P5	CRR190804	Treated	"Chuang et al., 2039"	Benzimidazole	14	2
P5	CRR190805	Treated	"Chuang et al., 2040"	Benzimidazole	14	2
P5	CRR190806	Treated	"Chuang et al., 2041"	Benzimidazole	14	2
P5	CRR190807	Control	"Chuang et al., 2042"	Benzimidazole	14	2
P5	CRR190808	Control	"Chuang et al., 2043"	Benzimidazole	14	2
P5	CRR190809	Control	"Chuang et al., 2044"	Benzimidazole	14	2
P5	CRR190810	Control	"Chuang et al., 2045"	Benzimidazole	14	2
P5	CRR190811	Control	"Chuang et al., 2046"	Benzimidazole	14	2
P5	CRR190812	Control	"Chuang et al., 2047"	Benzimidazole	14	2
P5	CRR190813	Control	"Chuang et al., 2048"	Benzimidazole	14	2
P5	CRR190814	Control	"Chuang et al., 2049"	Benzimidazole	14	2
P5	CRR190815	Control	"Chuang et al., 2050"	Benzimidazole	14	2
P5	CRR190816	Treated	"Chuang et al., 2051"	Benzimidazole	14	2
P5	CRR190817	Treated	"Chuang et al., 2052"	Benzimidazole	14	2
P5	CRR190818	Treated	"Chuang et al., 2053"	Benzimidazole	14	2
P5	CRR190819	Treated	"Chuang et al., 2054"	Benzimidazole	14	2
P5	CRR190820	Treated	"Chuang et al., 2055"	Benzimidazole	14	2
P5	CRR190821	Treated	"Chuang et al., 2056"	Benzimidazole	14	2
P5	CRR190822	Treated	"Chuang et al., 2057"	Benzimidazole	14	2
P5	CRR190823	Treated	"Chuang et al., 2058"	Benzimidazole	14	2
P5	CRR190824	Treated	"Chuang et al., 2059"	Benzimidazole	14	2
P5	CRR190825	Treated	"Chuang et al., 2060"	Benzimidazole	14	2
P5	CRR190826	Treated	"Chuang et al., 2061"	Benzimidazole	14	2
P5	CRR190827	Treated	"Chuang et al., 2062"	Benzimidazole	14	2
